;VehiID;DevIDNO;DateTime;Speed;Heading;lat;lon;geometry;sp_diff;dist;trjid;x;y;time;time_interval
32414;20;205130;2021-05-02 10:54:07;62.0;35;22.33814;114.196014;POINT (838239.6816784878 822119.2850914485);31.0;197.20880735549343;78;838239.6816784878;822119.2850914485;39247;15.0
32415;20;205130;2021-05-02 10:54:22;29.0;58;22.33925;114.197502;POINT (838392.9520758186 822242.2211470323);-33.0;196.48177640801416;78;838392.9520758186;822242.2211470323;39262;15.0
32416;20;205130;2021-05-02 10:54:37;26.0;50;22.339422;114.197753;POINT (838418.8061499606 822261.2711269523);-3.0;32.1144030723333;78;838418.8061499606;822261.2711269523;39277;15.0
32417;20;205130;2021-05-02 10:54:52;41.0;7;22.340839;114.198303;POINT (838475.4418748593 822418.1905440536);15.0;166.82718243203342;78;838475.4418748593;822418.1905440536;39292;15.0
32418;20;205130;2021-05-02 10:55:07;30.0;9;22.34214;114.198478;POINT (838493.4485719854 822562.259340174);-11.0;145.18973502624527;78;838493.4485719854;822562.259340174;39307;15.0
32419;20;205130;2021-05-02 10:55:22;0.0;8;22.343013;114.198654;POINT (838511.5648078311 822658.9336109846);-30.0;98.35706704640602;78;838511.5648078311;822658.9336109846;39322;15.0
32420;20;205130;2021-05-02 10:55:37;0.0;8;22.343011;114.198654;POINT (838511.5648398981 822658.7121409704);0.0;0.2214700165136897;78;838511.5648398981;822658.7121409704;39337;15.0
32421;20;205130;2021-05-02 10:55:52;0.0;8;22.343011;114.198646;POINT (838510.740743506 822658.7120216655);0.0;0.8240964007775691;78;838510.740743506;822658.7120216655;39352;15.0
32422;20;205130;2021-05-02 10:56:07;0.0;8;22.343004;114.198646;POINT (838510.7408557031 822657.9368766139);0.0;0.7751450597715311;78;838510.7408557031;822657.9368766139;39367;15.0
32423;20;205130;2021-05-02 10:56:22;0.0;8;22.342992;114.198631;POINT (838509.1958670965 822656.60783295);0.0;2.037976166471508;78;838509.1958670965;822656.60783295;39382;15.0
32424;20;205130;2021-05-02 10:56:37;0.0;8;22.342994;114.198631;POINT (838509.1958350618 822656.8293029635);0.0;0.2214700158105142;78;838509.1958350618;822656.8293029635;39397;15.0
32425;20;205130;2021-05-02 10:56:53;0.0;8;22.342998;114.198631;POINT (838509.195770994 822657.2722429923);0.0;0.4429400334834547;78;838509.195770994;822657.2722429923;39413;16.0
32426;20;205130;2021-05-02 10:57:08;46.0;7;22.343818;114.198806;POINT (838527.209641613 822748.0775715258);46.0;92.57487361459678;78;838527.209641613;822748.0775715258;39428;15.0
32427;20;205130;2021-05-02 10:57:23;35.0;29;22.345338;114.199256;POINT (838573.539751406 822916.4016438855);-11.0;174.58371175223772;78;838573.539751406;822916.4016438855;39443;15.0
32428;20;205130;2021-05-02 10:57:38;26.0;314;22.34604;114.19918;POINT (838565.6994372557 822994.1364818709);-9.0;78.12922348638068;78;838565.6994372557;822994.1364818709;39458;15.0
32429;20;205130;2021-05-02 10:57:53;39.0;267;22.346445;114.198059;POINT (838450.2191079383 823038.967481781);13.0;123.87705603619736;78;838450.2191079383;823038.967481781;39473;15.0
32430;20;205130;2021-05-02 10:58:08;40.0;4;22.347553;114.197753;POINT (838418.6811584301 823161.6575214104);1.0;126.6786804613891;78;838418.6811584301;823161.6575214104;39488;15.0
32431;20;205130;2021-05-02 10:58:23;21.0;71;22.348123;114.198188;POINT (838463.4810018647 823224.7827990282);-19.0;77.40689017194912;78;838463.4810018647;823224.7827990282;39503;15.0
